epoch|train_loss|val_loss|val_acc
01|2.1426|1.9199|0.2857
02|1.8413|1.7001|0.3686   
03|1.7052|1.6113|0.4048   
04|1.6163|1.4890|0.4529   
05|1.5456|1.4417|0.4667   
06|1.4852|1.3867|0.4924   
07|1.4276|1.3509|0.5024   
08|1.3806|1.2668|0.5327   
09|1.3366|1.2598|0.5338    
10|1.3027|1.2207|0.5463    
11|1.2666|1.1817|0.5683    
12|1.2391|1.1715|0.5781    
13|1.2068|1.1356|0.5891    
14|1.1881|1.1266|0.5926    
15|1.1678|1.1006|0.6004    
16|1.1482|1.0807|0.6115    
17|1.1317|1.0729|0.6091    
18|1.1196|1.0793|0.6099    
19|1.1002|1.0506|0.6221    
20|1.0869|1.0392|0.6260    
21|1.0783|1.0352|0.6240    
22|1.0653|1.0362|0.6248    
23|1.0530|1.0262|0.6317    
24|1.0443|1.0281|0.6365    
25|1.0387|1.0581|0.6234    
26|1.0315|1.0158|0.6390    
27|1.0229|1.0061|0.6377    
28|1.0175|1.0182|0.6313    
29|1.0061|1.0025|0.6392    
30|0.9988|1.0086|0.6358    
31|0.9985|1.0059|0.6403    
32|0.9884|1.0224|0.6346    
33|0.9810|0.9929|0.6460    
34|0.9724|0.9895|0.6421    
35|0.9737|1.0095|0.6379    
36|0.9649|1.0066|0.6408    
37|0.9663|0.9978|0.6450    
38|0.9544|1.0055|0.6425    
39|0.9502|1.0064|0.6405    
40|0.9434|0.9876|0.6475    
41|0.9361|1.0069|0.6407    
42|0.9413|0.9925|0.6453    
43|0.9319|0.9832|0.6518    
44|0.9306|1.0067|0.6422    
45|0.9283|0.9857|0.6495    
46|0.9240|1.0006|0.6469    
47|0.9207|0.9991|0.6495    
48|0.9102|1.0086|0.6408    
49|0.9126|1.0135|0.6472    
50|0.9085|0.9900|0.6503    
51|0.9072|1.0142|0.6407    
52|0.9019|0.9985|0.6481    
53|0.8973|0.9936|0.6546    
54|0.8978|0.9922|0.6487    
55|0.8964|1.0133|0.6393    
56|0.8872|1.0021|0.6487    
57|0.8875|0.9977|0.6476    
58|0.8875|1.0046|0.6488    
59|0.8831|0.9991|0.6442    
60|0.8800|1.0009|0.6484    
61|0.8850|0.9917|0.6521    
62|0.8734|1.0021|0.6453    
63|0.8717|1.0224|0.6417    
64|0.8691|1.0053|0.6481    
65|0.8740|1.0108|0.6483    
66|0.8647|1.0163|0.6454    
67|0.8665|1.0117|0.6502    
68|0.8652|1.0140|0.6390    
69|0.8630|1.0128|0.6483    
70|0.8616|1.0195|0.6419    
71|0.8573|1.0282|0.6404    
72|0.8613|1.0109|0.6437    
73|0.8570|1.0081|0.6458    
74|0.8506|1.0214|0.6461    
75|0.8534|1.0223|0.6482    
76|0.8512|1.0158|0.6461    
77|0.8386|1.0086|0.6519    
78|0.8400|1.0251|0.6424    
79|0.8419|1.0244|0.6470    
80|0.8386|1.0258|0.6473    
81|0.8362|1.0190|0.6479    
82|0.8331|1.0385|0.6426    
83|0.8375|1.0237|0.6462    
84|0.8366|1.0252|0.6462    
85|0.8329|1.0179|0.6466    
86|0.8326|1.0289|0.6470    
87|0.8315|1.0429|0.6453    
88|0.8290|1.0287|0.6411    
89|0.8269|1.0145|0.6466    
90|0.8222|1.0259|0.6422    
91|0.8263|1.0247|0.6461    
92|0.8244|1.0543|0.6402    
93|0.8181|1.0422|0.6433    
94|0.8213|1.0230|0.6430    
95|0.8226|1.0298|0.6437    
96|0.8189|1.0263|0.6440    
97|0.8136|1.0161|0.6469    
98|0.8132|1.0369|0.6382    
99|0.8109|1.0440|0.6419     
100|0.8144|1.0217|0.6476
